Group,Scenario,Recovery_status,Recovery_time,Reaction_time,Response_time,Accuracy,Alarms_silenced,Alarms_ack,Mimics_opened,No_of_procedures,No_of_alarms,Consequence,Overall_performance
G1,S1,Optimal,251,299,312,0.00192884369416171,2,1,1,0,2,Safe,Optimal
G1,S1,Optimal,399,338,705,0.0221912558026549,1,2,2,0,3,Safe,Good
G1,S1,Poor,898,462,487,0.00236420232195073,2,2,6,0,2,Impurity of air in tank atmosphere,Poor
G1,S1,Optimal,349,314,326,0.00048157962560849,1,2,2,0,2,Safe,Good
G1,S1,Optimal,398,299,348,0.00249999999999989,2,2,3,0,2,Safe,Good
G1,S1,Optimal,343,303,308,0.00310024706645601,2,2,1,0,2,Safe,Good
G1,S1,Optimal,399,391,398,3.95E-05,1,2,2,0,2,Safe,Good
G1,S1,Optimal,703,342,344,0.00249999999999989,0,2,2,0,2,Safe,Poor
G1,S1,Optimal,452,359,360,0.0085586382905609,2,2,5,0,2,Safe,Good
G1,S1,Optimal,898,326,703,0.0641458062394649,3,3,4,0,3,Safe,Poor
G1,S1,Optimal,223,292,293,2.07018110060107,3,3,2,0,3,Safe,Optimal
G1,S1,Optimal,245,295,305,0.023862538918892,1,2,2,0,2,Safe,Optimal
G1,S1,Optimal,458,290,365,0.0177701289544706,0,2,2,0,2,Safe,Good
G1,S1,Optimal,680,314,840,0.0142065063795881,2,1,1,0,2,Safe,Poor
G1,S1,Poor,752,-35,504,1.95013293152941,23,4,5,0,25,Impurity of air in tank atmosphere,Poor
G1,S1,Optimal,898,316,790,0.0032751487879227,0,2,6,0,2,Safe,Poor
G1,S1,Optimal,279,301,302,0.0181855205429535,0,2,6,0,2,Safe,Good
G1,S1,Optimal,486,349,356,0.00172775439105835,2,2,1,0,2,Safe,Poor
G1,S1,Optimal,248,291,297,0.0181855205429535,1,1,1,0,3,Safe,Optimal
G1,S1,Optimal,387,327,328,0.00236420232195073,2,2,2,0,2,Safe,Good
G1,S1,Optimal,335,322,327,0.0181855205429535,2,2,1,0,2,Safe,Good
G1,S1,Optimal,210,280,293,0.00991412663192726,1,2,2,0,2,Safe,Optimal
G1,S2,Poor,814,528,599,0.0138446015581534,2,1,2,0,2,Plant Shutdown,Poor
G1,S2,Optimal,239,264,294,0.0018212455114742,3,3,2,0,3,Safe,Optimal
G1,S2,Optimal,328,276,329,3.91E-05,2,2,3,0,2,Safe,Good
G1,S2,Poor,898,344,429,3.91E-05,0,1,3,0,2,Plant Shutdown,Poor
G1,S2,Good,600,312,443,3.91E-05,2,2,2,0,2,Impurity of air in tank atmosphere,Poor
G1,S2,Good,424,260,382,3.62E-06,2,1,2,0,2,Impurity of air in tank atmosphere,Good
G1,S2,Optimal,483,281,289,0.000106628071833648,1,1,2,0,2,Safe,Poor
G1,S2,Poor,595,455,60,0.000106628071833648,0,2,2,0,2,Plant Shutdown,Poor
G1,S2,Optimal,331,263,314,3.91E-05,2,2,6,0,2,Safe,Good
G1,S2,Poor,441,319,411,3.91E-05,2,2,4,0,20,Impurity of air in tank atmosphere,Good
G1,S2,Poor,663,235,900,0.124409558128544,2,2,6,0,3,Plant Shutdown,Poor
G1,S2,Optimal,379,289,356,3.62E-06,1,1,2,0,2,Safe,Good
G1,S2,Poor,625,386,506,0.00809999999999999,0,1,2,0,2,Impurity of air in tank atmosphere,Poor
G1,S2,Good,454,270,390,5.02E-06,2,0,2,0,2,Impurity of air in tank atmosphere,Good
G1,S2,Poor,657,253,384,0.000199669187145557,2,0,1,0,3,Plant Shutdown,Poor
G1,S2,Poor,171,48,89,3.62E-06,16,0,5,0,21,Reactor Overheated,Poor
G1,S2,Good,751,304,632,0.0973168714555766,0,3,4,0,3,Impurity of air in tank atmosphere,Poor
G1,S2,Poor,595,446,564,0.0973168714555766,0,1,6,0,2,Plant Shutdown,Poor
G1,S2,Good,585,314,413,0.0144914490784499,3,3,2,0,3,Impurity of air in tank atmosphere,Poor
G1,S2,Good,546,263,310,0.0209777439744801,2,1,6,0,2,Impurity of air in tank atmosphere,Poor
G1,S2,Optimal,356,316,355,0.000106628071833648,2,2,2,0,2,Safe,Good
G1,S2,Optimal,293,263,309,3.49E-05,1,1,2,0,2,Safe,Good
G1,S3,Poor,418,117,418,72.4653464913471,11,2,3,0,17,Reactor Overheated,Poor
G1,S3,Optimal,868,264,868,30.1624803496932,3,3,2,0,3,Safe,Good
G1,S3,Optimal,894,120,894,102.493633244516,14,14,4,0,19,Safe,Good
